old_url,new_url,id,date
/posts/5234,/archive/2017/06a#post-156723,156723,2017-06-01 17:36:16 UTC
/posts/5313,/archive/2017/06a#post-156724,156724,2017-06-09 04:59:13 UTC
/posts/5319,/archive/2017/06a#post-156725,156725,2017-06-10 17:22:25 UTC
/posts/5322,/archive/2017/06a#post-156726,156726,2017-06-11 06:44:00 UTC
/posts/5317,/archive/2017/06a#post-156727,156727,2017-06-10 01:15:08 UTC
/posts/5320,/archive/2017/06a#post-156728,156728,2017-06-10 21:40:00 UTC
/posts/5277,/archive/2017/06a#post-156729,156729,2017-06-03 20:24:46 UTC
/posts/5316,/archive/2017/06a#post-156730,156730,2017-06-09 23:53:38 UTC
/posts/5318,/archive/2017/06a#post-156731,156731,2017-06-10 02:25:27 UTC
/posts/5304,/archive/2017/06a#post-156732,156732,2017-06-08 15:44:31 UTC
/posts/5279,/archive/2017/06a#post-156733,156733,2017-06-03 22:45:03 UTC
/posts/5284,/archive/2017/06a#post-156734,156734,2017-06-05 12:50:14 UTC
/posts/5307,/archive/2017/06a#post-156735,156735,2017-06-08 18:47:37 UTC
/posts/5263,/archive/2017/06a#post-156736,156736,2017-06-02 20:42:18 UTC
/posts/5276,/archive/2017/06a#post-156737,156737,2017-06-03 13:48:48 UTC
/posts/5288,/archive/2017/06a#post-156738,156738,2017-06-06 04:42:19 UTC
/posts/5255,/archive/2017/06a#post-156739,156739,2017-06-02 13:57:36 UTC
/posts/5326,/archive/2017/06a#post-156740,156740,2017-06-12 12:38:03 UTC
/posts/5306,/archive/2017/06a#post-156741,156741,2017-06-08 17:27:26 UTC
/posts/5295,/archive/2017/06a#post-156742,156742,2017-06-07 07:07:19 UTC
/posts/5275,/archive/2017/06a#post-156743,156743,2017-06-03 11:56:24 UTC
/posts/5264,/archive/2017/06a#post-156744,156744,2017-06-02 20:43:49 UTC
/posts/5267,/archive/2017/06a#post-156745,156745,2017-06-02 21:09:23 UTC
/posts/5262,/archive/2017/06a#post-156746,156746,2017-06-02 15:52:37 UTC
/posts/5265,/archive/2017/06a#post-156747,156747,2017-06-02 20:45:13 UTC
/posts/5272,/archive/2017/06a#post-156748,156748,2017-06-03 01:11:47 UTC
/posts/5253,/archive/2017/06a#post-156749,156749,2017-06-02 06:38:13 UTC
/posts/5305,/archive/2017/06a#post-156750,156750,2017-06-08 16:34:10 UTC
/posts/5309,/archive/2017/06a#post-156751,156751,2017-06-08 20:33:21 UTC
/posts/5310,/archive/2017/06a#post-156752,156752,2017-06-08 20:37:38 UTC
/posts/5282,/archive/2017/06a#post-156753,156753,2017-06-04 22:23:08 UTC
/posts/5287,/archive/2017/06a#post-156754,156754,2017-06-05 17:06:51 UTC
/posts/5258,/archive/2017/06a#post-156755,156755,2017-06-02 15:10:51 UTC
/posts/5273,/archive/2017/06a#post-156756,156756,2017-06-03 11:45:04 UTC
/posts/5251,/archive/2017/06a#post-156757,156757,2017-06-02 00:27:56 UTC
/posts/5266,/archive/2017/06a#post-156758,156758,2017-06-02 21:02:38 UTC
/posts/5268,/archive/2017/06a#post-156759,156759,2017-06-02 21:19:02 UTC
