old_url,new_url,id,date
/discussion.cgi?disc=199610;article=310069;title=PPC%20Posting%20Board,/archive/2017/07b#post-158805,158805,2017-07-17 15:46:00 UTC
/discussion.cgi?disc=199610;article=310108;title=PPC%20Posting%20Board,/archive/2017/07b#post-158806,158806,2017-07-18 17:13:00 UTC
/discussion.cgi?disc=199610;article=310071;title=PPC%20Posting%20Board,/archive/2017/07b#post-158807,158807,2017-07-17 16:35:00 UTC
/discussion.cgi?disc=199610;article=310072;title=PPC%20Posting%20Board,/archive/2017/07b#post-158808,158808,2017-07-17 16:39:00 UTC
/discussion.cgi?disc=199610;article=310064;title=PPC%20Posting%20Board,/archive/2017/07b#post-158809,158809,2017-07-17 10:21:00 UTC
/discussion.cgi?disc=199610;article=310068;title=PPC%20Posting%20Board,/archive/2017/07b#post-158810,158810,2017-07-17 15:16:00 UTC
/discussion.cgi?disc=199610;article=310059;title=PPC%20Posting%20Board,/archive/2017/07b#post-158811,158811,2017-07-17 01:07:00 UTC
/discussion.cgi?disc=199610;article=310035;title=PPC%20Posting%20Board,/archive/2017/07b#post-158812,158812,2017-07-15 16:33:00 UTC
/discussion.cgi?disc=199610;article=310083;title=PPC%20Posting%20Board,/archive/2017/07b#post-158813,158813,2017-07-18 00:10:00 UTC
/discussion.cgi?disc=199610;article=310093;title=PPC%20Posting%20Board,/archive/2017/07b#post-158814,158814,2017-07-18 10:50:00 UTC
/discussion.cgi?disc=199610;article=310118;title=PPC%20Posting%20Board,/archive/2017/07b#post-158815,158815,2017-07-19 00:39:00 UTC
/discussion.cgi?disc=199610;article=310120;title=PPC%20Posting%20Board,/archive/2017/07b#post-158816,158816,2017-07-19 01:48:00 UTC
/discussion.cgi?disc=199610;article=310094;title=PPC%20Posting%20Board,/archive/2017/07b#post-158817,158817,2017-07-18 11:09:00 UTC
/discussion.cgi?disc=199610;article=310095;title=PPC%20Posting%20Board,/archive/2017/07b#post-158818,158818,2017-07-18 11:12:00 UTC
/discussion.cgi?disc=199610;article=310098;title=PPC%20Posting%20Board,/archive/2017/07b#post-158819,158819,2017-07-18 11:52:00 UTC
/discussion.cgi?disc=199610;article=310099;title=PPC%20Posting%20Board,/archive/2017/07b#post-158820,158820,2017-07-18 12:06:00 UTC
/discussion.cgi?disc=199610;article=310101;title=PPC%20Posting%20Board,/archive/2017/07b#post-158821,158821,2017-07-18 13:17:00 UTC
/discussion.cgi?disc=199610;article=310102;title=PPC%20Posting%20Board,/archive/2017/07b#post-158822,158822,2017-07-18 13:22:00 UTC
/discussion.cgi?disc=199610;article=310104;title=PPC%20Posting%20Board,/archive/2017/07b#post-158823,158823,2017-07-18 15:03:00 UTC
/discussion.cgi?disc=199610;article=310103;title=PPC%20Posting%20Board,/archive/2017/07b#post-158824,158824,2017-07-18 14:37:00 UTC
/discussion.cgi?disc=199610;article=310084;title=PPC%20Posting%20Board,/archive/2017/07b#post-158825,158825,2017-07-18 00:11:00 UTC
/discussion.cgi?disc=199610;article=310040;title=PPC%20Posting%20Board,/archive/2017/07b#post-158826,158826,2017-07-16 04:34:00 UTC
/discussion.cgi?disc=199610;article=310041;title=PPC%20Posting%20Board,/archive/2017/07b#post-158827,158827,2017-07-16 05:03:00 UTC
/discussion.cgi?disc=199610;article=310042;title=PPC%20Posting%20Board,/archive/2017/07b#post-158828,158828,2017-07-16 05:17:00 UTC
/discussion.cgi?disc=199610;article=310043;title=PPC%20Posting%20Board,/archive/2017/07b#post-158829,158829,2017-07-16 05:19:00 UTC
/discussion.cgi?disc=199610;article=310044;title=PPC%20Posting%20Board,/archive/2017/07b#post-158830,158830,2017-07-16 09:19:00 UTC
/discussion.cgi?disc=199610;article=310045;title=PPC%20Posting%20Board,/archive/2017/07b#post-158831,158831,2017-07-16 11:48:00 UTC
/discussion.cgi?disc=199610;article=310047;title=PPC%20Posting%20Board,/archive/2017/07b#post-158832,158832,2017-07-16 12:58:00 UTC
/discussion.cgi?disc=199610;article=310054;title=PPC%20Posting%20Board,/archive/2017/07b#post-158833,158833,2017-07-16 15:09:00 UTC
/discussion.cgi?disc=199610;article=310049;title=PPC%20Posting%20Board,/archive/2017/07b#post-158834,158834,2017-07-16 13:23:00 UTC
/discussion.cgi?disc=199610;article=310050;title=PPC%20Posting%20Board,/archive/2017/07b#post-158835,158835,2017-07-16 13:44:00 UTC
/discussion.cgi?disc=199610;article=310051;title=PPC%20Posting%20Board,/archive/2017/07b#post-158836,158836,2017-07-16 14:07:00 UTC
/discussion.cgi?disc=199610;article=310052;title=PPC%20Posting%20Board,/archive/2017/07b#post-158837,158837,2017-07-16 14:11:00 UTC
/discussion.cgi?disc=199610;article=310046;title=PPC%20Posting%20Board,/archive/2017/07b#post-158838,158838,2017-07-16 12:49:00 UTC
/discussion.cgi?disc=199610;article=310048;title=PPC%20Posting%20Board,/archive/2017/07b#post-158839,158839,2017-07-16 13:21:00 UTC
/discussion.cgi?disc=199610;article=310053;title=PPC%20Posting%20Board,/archive/2017/07b#post-158840,158840,2017-07-16 14:29:00 UTC
/discussion.cgi?disc=199610;article=310037;title=PPC%20Posting%20Board,/archive/2017/07b#post-158841,158841,2017-07-16 02:10:00 UTC
/discussion.cgi?disc=199610;article=310038;title=PPC%20Posting%20Board,/archive/2017/07b#post-158842,158842,2017-07-16 04:33:00 UTC
/discussion.cgi?disc=199610;article=310036;title=PPC%20Posting%20Board,/archive/2017/07b#post-158843,158843,2017-07-15 17:19:00 UTC
